,predict_confirmed_case,confirmed_case
0,794846.5770918395,794862
1,800440.8735872313,800352
2,805735.8577859302,805728
3,810760.6147763352,811111
4,815541.1560956817,815474
5,820100.9363292282,819837
6,824461.3326589738,823987
7,828642.087361905,828771
8,832661.7132577738,833284
9,836537.8621064057,836812
10,840287.6559545384,840431
11,843927.9814321902,843380
12,847475.7469985596,846841
13,850948.1031374553,850992
14,854362.6255022555,854789
15,857737.4610103983,858010
16,861091.4368874042,861203
17,864444.1326604241,864371
18,867815.9151013243,867405
19,871227.9361192958,871051
20,874702.0936029983,874687
21,878260.9552122316,878672
22,881927.64511914,882045
23,885725.6936989445,886090
24,889678.8501702079,889729
25,893810.8581846277,893324
26,898145.1943663621,897735
27,902704.7698008835,902627
28,907511.5944733651,907526
29,912586.4046565964,912753
30,917948.2532484286,918272
31,923614.0630587519,923870
32,929598.1430460026,929507
33,935911.6675031991,935699
34,942562.1181935114,942279
35,949552.689435357,949783
36,956881.6561370313,0
37,964541.7047808652,0
38,972519.2273569154,0
39,980793.5782461821,0
40,989336.2940533606,0
41,998110.2763891217,0
42,1007068.9376019208,0
43,1016155.3094593409,0
44,1025301.1147789629,0
45,1034425.8020087674,0
46,1043435.5427570681,0
47,1052222.1922719728,0
48,1060662.2128703778,0
49,1068615.5603164914,0
